Gene ID	Gene Name	EBV-transformed lymphocyte	K-562 cell line	adrenal gland	amygdala	anterior cingulate cortex	aorta	atrium auricular region	blood	breast (mammary tissue)	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	coronary artery	cortex of kidney	ectocervix	esophagogastric junction	esophagus mucosa	esophagus muscularis mucosa	fallopian tube	frontal cortex	heart left ventricle	hippocampal formation	hypothalamus	liver	lower leg skin	lung	minor salivary gland	nucleus accumbens	ovary	pancreas	pituitary gland	prostate gland	putamen	sigmoid colon	skeletal muscle tissue	spinal cord (cervical c-1)	spleen	stomach	subcutaneous adipose tissue	substantia nigra	suprapubic skin	terminal ileum of small intestine	testis	thyroid gland	tibial artery	tibial nerve	transformed fibroblast	transverse colon	urinary bladder	uterus	vagina	visceral (omentum) adipose tissue
ENSG00000000003	TSPAN6			7	4	2	3	3		11	4	0.8	1	2	3	6	12	2	14	2	9	2	1	3	4	12	4	4	12	4	25	4	17	8	2	5	1	2	3	5	10	3	3	5	26	7	2	10	5	18	9	10	10	10
ENSG00000000005	TNMD									4																	1				0.7										8		1					1						5
ENSG00000000419	DPM1	35	54	26	12	15	20	19	7	22	13	17	16	14	19	15	23	19	21	19	23	15	16	13	14	14	19	19	22	13	23	16	20	21	11	19	16	10	23	20	20	12	19	19	33	23	19	21	26	19	20	23	21	20
ENSG00000000457	SCYL3	4	2	2	1	1	2	1	2	4	1	3	3	1	2	2	3	2	3	2	3	1	1	1	1	2	3	2	3	1	3	2	2	3	1	3	2	1	3	2	3	1	3	3	3	3	2	3	2	3	4	3	3	2
ENSG00000000460	C1orf112	4	6	0.6	0.5		0.6		0.5	1		1	2	0.5	0.7		1	0.7	0.9	0.7	1			0.5	0.5	0.6	0.8	0.8	0.9	0.5	1		0.8	1		0.9		0.7	1	0.7	0.9	0.5	0.8	0.9	4	1	0.7	1	0.5	0.8	1	1	1	0.7
ENSG00000000938	FGR	42		3	3	2	4	3	317	8	3	1	1	3	6	3	5	4	3	3	11	3	2	3	3	3	3	49	5	3	1	1	1	4	3	4	1	4	80	2	12	5	3	5	2	5	2	7		3	4	5	5	13
ENSG00000000971	CFH		19	9	3	2	33	64		16	3	1	0.9	2	65	3	5	13	9	10	5	3	4	3	3	130	23	21	55	3	47	2	3	6	3	5	3	5	3	8	37	5	14	12	3	36	56	50	11	6	38	3	5	19
ENSG00000001036	FUCA2	11	38	25	6	5	13	11	5	16	6	4	4	4	12	12	17	10	7	9	15	4	9	6	9	13	7	16	17	5	17	11	10	11	6	9	2	11	15	15	17	9	7	17	7	15	9	15	32	17	13	14	12	16
ENSG00000001084	GCLC	3	3	5	5	4	2	2	1	5	6	3	3	4	2	3	4	6	7	7	4	4	2	5	5	9	4	3	5	6	3	3	3	8	5	7	2	5	9	6	6	5	4	6	4	6	2	4	3	6	22	3	7	5
ENSG00000001167	NFYA	15	15	6	6	5	5	4	6	9	6	8	8	6	5	5	8	5	6	4	8	5	3	6	6	4	5	8	6	6	11	4	7	7	6	4	4	8	7	6	7	6	6	7	26	10	5	7	10	6	7	8	7	7
